Country,Time,Value
United States,2017,61435.0
United States,2018,63434.0
United States,2019,65505.0
United States,2020,70184.0
United States,2021,74259.8810335231
United States,2022,77463.4730245547
Israel,2000,113428.695034867
Israel,2001,115951.667171428
Israel,2002,116446.860686616
Israel,2003,112880.471799977
Israel,2004,111737.544836018
Israel,2005,113754.0
Israel,2006,119629.0
Israel,2007,122249.0
Israel,2008,125765.0
Israel,2009,125034.0
Israel,2010,128455.0
Israel,2011,133265.0
Israel,2012,137882.0
Israel,2013,140697.0
Israel,2014,142032.0
Israel,2015,145818.0
Israel,2016,150577.0
Israel,2017,155580.0
Israel,2018,161869.0
Israel,2019,166539.0
Israel,2020,166566.0
Israel,2021,177727.556748358
Israel,2022,184075.696325387
Slovenia,2000,11312.0725721231
Slovenia,2001,12663.1787655059
Slovenia,2002,13650.7990138477
Slovenia,2003,14665.5104328727
Slovenia,2004,15839.1752488425
Slovenia,2005,16800.0
Slovenia,2006,17764.0
Slovenia,2007,18896.0
Slovenia,2008,20255.0
Slovenia,2009,20628.0
Slovenia,2010,21516.0
Slovenia,2011,21836.0
Slovenia,2012,21540.0
Slovenia,2013,21642.0
Slovenia,2014,21981.0
Slovenia,2015,22324.0
Slovenia,2016,23087.0
Slovenia,2017,23869.0
Slovenia,2018,24778.0
Slovenia,2019,25849.0
Slovenia,2020,26551.0
Slovenia,2021,28521.3510441474
Slovenia,2022,29789.5418205264
Estonia,2000,4116.87920294707
Estonia,2001,4529.34128940582
Estonia,2002,4955.47882616325
Estonia,2003,5526.27137399453
Estonia,2004,6182.58888687774
Estonia,2005,6837.0
Estonia,2006,7864.0
Estonia,2007,9867.0
Estonia,2008,10800.0
Estonia,2009,10401.0
Estonia,2010,10742.0
Estonia,2011,11020.0
Estonia,2012,11621.0
Estonia,2013,12272.0
Estonia,2014,13033.0
Estonia,2015,13576.0
Estonia,2016,14457.0
Estonia,2017,15415.0
Estonia,2018,16970.0
Estonia,2019,18318.0
Estonia,2020,19338.0
Estonia,2021,21321.8177724066
Estonia,2022,23119.4366659027
Mexico,2000,73705.7050489727
Mexico,2001,81474.680027596
Mexico,2002,85092.5992522885
Mexico,2003,90118.8808774824
Mexico,2004,94334.157247455
Mexico,2005,100566.0
Mexico,2006,105125.0
Mexico,2007,111237.0
Mexico,2008,117185.0
Mexico,2009,122012.0
Mexico,2010,120378.0
Mexico,2011,127861.0
Mexico,2012,132166.0
Mexico,2013,137357.0
Mexico,2014,143391.0
Mexico,2015,149226.0
Mexico,2016,154450.0
Mexico,2017,161918.0
Mexico,2018,171923.0
Mexico,2019,180025.0
Mexico,2020,181077.0
Mexico,2021,193772.734262884
Mexico,2022,199108.22566974
Iceland,2000,3472001.13584627
Iceland,2001,3721196.93808042
Iceland,2002,4036135.89111304
Iceland,2003,3975951.15720374
Iceland,2004,4360069.66216717
Iceland,2005,4759887.0
Iceland,2006,5374709.0
Iceland,2007,5798875.0
Iceland,2008,5882412.0
Iceland,2009,5764970.0
Iceland,2010,6163957.0
Iceland,2011,6660968.0
Iceland,2012,7013811.0
Iceland,2013,7383768.0
Iceland,2014,7677867.0
Iceland,2015,8246070.0
Iceland,2016,9266481.0
Iceland,2017,10053069.0
Iceland,2018,10939331.0
Iceland,2019,10979069.0
Iceland,2020,10651196.0
Iceland,2021,11524362.3490969
Iceland,2022,13153719.823704
New Zealand,2000,38144.5569337542
New Zealand,2001,39669.7919740929
New Zealand,2002,41227.4729785209
New Zealand,2003,42961.392378729
New Zealand,2004,45051.4427853477
New Zealand,2005,46698.0
New Zealand,2006,48382.0
New Zealand,2007,52039.0
New Zealand,2008,53374.0
New Zealand,2009,55441.0
New Zealand,2010,56755.0
New Zealand,2011,58365.0
New Zealand,2012,60082.0
New Zealand,2013,59693.0
New Zealand,2014,60459.0
New Zealand,2015,62025.0
New Zealand,2016,64464.0
New Zealand,2017,65927.0
New Zealand,2018,68456.0
New Zealand,2019,71568.0
New Zealand,2020,74479.0
New Zealand,2021,77368.4552180936
New Zealand,2022,80400.8855069856
Chile,2000,4410850.39956582
Chile,2001,4749511.16712663
Chile,2002,4952118.30019009
Chile,2003,5187353.08287956
Chile,2004,5143976.68179694
Chile,2005,5329935.0
Chile,2006,5647849.0
Chile,2007,6037115.0
Chile,2008,6705333.0
Chile,2009,7343943.0
Chile,2010,8599482.0
Chile,2011,9118963.0
Chile,2012,9694163.0
Chile,2013,10233588.0
Chile,2014,10912495.0
Chile,2015,11513194.0
Chile,2016,12411088.0
Chile,2017,12325499.0
Chile,2018,13144614.0
Chile,2019,13728356.0
Chile,2020,13662614.0
Chile,2021,15006874.7752703
Latvia,2000,3067.72955908892
Latvia,2001,3245.34536839711
Latvia,2002,3317.46996823345
Latvia,2003,3744.30806943978
Latvia,2004,4335.21027038536
Latvia,2005,5531.0
Latvia,2006,6718.0
Latvia,2007,9248.0
Latvia,2008,10828.0
Latvia,2009,9424.0
Latvia,2010,8841.0
Latvia,2011,9065.0
Latvia,2012,9739.0
Latvia,2013,10249.0
Latvia,2014,11078.0
Latvia,2015,11938.0
Latvia,2016,12787.0
Latvia,2017,13678.0
Latvia,2018,14612.0
Latvia,2019,15704.0
Latvia,2020,16435.0
Latvia,2021,18396.9783019468
Latvia,2022,19961.3543215575
Lithuania,2000,4757.69551735305
Lithuania,2001,5143.06567762439
Lithuania,2002,5467.06805766504
Lithuania,2003,5961.08248830343
Lithuania,2004,6603.9142181039
Lithuania,2005,7466.0
Lithuania,2006,8945.0
Lithuania,2007,10085.0
Lithuania,2008,11388.0
Lithuania,2009,10320.0
Lithuania,2010,10515.0
Lithuania,2011,11198.0
Lithuania,2012,11740.0
Lithuania,2013,12288.0
Lithuania,2014,12847.0
Lithuania,2015,13552.0
Lithuania,2016,14389.0
Lithuania,2017,15735.0
Lithuania,2018,16902.0
Lithuania,2019,18382.0
Lithuania,2020,19555.0
Lithuania,2021,21749.9413821952
Lithuania,2022,24111.5599357483
Türkiye,2000,4486.59574456929
Türkiye,2001,6167.41792388649
Türkiye,2002,8674.38059352312
Türkiye,2003,11329.6287851028
Türkiye,2004,13437.0464930342
Türkiye,2005,15112.0
Türkiye,2006,16655.0
Türkiye,2007,18368.0
Türkiye,2008,20218.0
Türkiye,2009,21512.0
Türkiye,2010,23439.0
Türkiye,2011,25632.0
Türkiye,2012,28741.0
Türkiye,2013,31827.0
