"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2015","2015","IDX","Index","0","Units","2021M12_100","2021M12=100",74.43333,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2016","2016","IDX","Index","0","Units","2021M12_100","2021M12=100",78.75833,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2017","2017","IDX","Index","0","Units","2021M12_100","2021M12=100",81.80833,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2018","2018","IDX","Index","0","Units","2021M12_100","2021M12=100",86.2,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2019","2019","IDX","Index","0","Units","2021M12_100","2021M12=100",91.00833,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2020","2020","IDX","Index","0","Units","2021M12_100","2021M12=100",93.95,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2021","2021","IDX","Index","0","Units","2021M12_100","2021M12=100",98.25,,
"ZAF","South Africa","CP020000","CPI: 02 - Alcoholic beverages, tobacco and narcotics","IXNB","National Index","A","Annual","2022","2022","IDX","Index","0","Units","2021M12_100","2021M12=100",104.15,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.625,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",105.775,,
"CHN","China (People's Republic of)","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",108.8417,,
