Subject,Country,Year,CPI
CPI: 03 - Clothing and footwear,Hungary,2017,101.0014
CPI: 03 - Clothing and footwear,Hungary,2018,101.6363
CPI: 03 - Clothing and footwear,Hungary,2019,102.8389
CPI: 03 - Clothing and footwear,Hungary,2020,102.888
CPI: 03 - Clothing and footwear,Hungary,2021,103.1253
CPI: 03 - Clothing and footwear,Hungary,2022,108.7867
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2015,100.0
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2016,105.8711
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2017,111.2493
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2018,116.6947
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2019,122.4538
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2020,126.9916
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2021,131.2605
"CPI: 04 - Housing, water, electricity, gas and other fuels",South Africa,2022,137.3109
CPI: 01-12 - All items,Ireland,2015,100.0
CPI: 01-12 - All items,Ireland,2016,100.0083
CPI: 01-12 - All items,Ireland,2017,100.3489
CPI: 01-12 - All items,Ireland,2018,100.8389
CPI: 01-12 - All items,Ireland,2019,101.7859
CPI: 01-12 - All items,Ireland,2020,101.4453
CPI: 01-12 - All items,Ireland,2021,103.8375
CPI: 01-12 - All items,Ireland,2022,111.9445
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Mexico,2015,100.0
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Mexico,2016,102.386
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Mexico,2017,106.9302
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Mexico,2018,112.0265
"CPI: 02 - Alcoholic beverages, tobacco and narcotics",Mexico,2019,118.1111
