"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-02","Feb-2019","IDX","Index","0","Units","2015_100","2015=100",100.2062,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-03","Mar-2019","IDX","Index","0","Units","2015_100","2015=100",100.2602,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-04","Apr-2019","IDX","Index","0","Units","2015_100","2015=100",100.2561,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-05","May-2019","IDX","Index","0","Units","2015_100","2015=100",100.2294,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-06","Jun-2019","IDX","Index","0","Units","2015_100","2015=100",100.0747,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-07","Jul-2019","IDX","Index","0","Units","2015_100","2015=100",100.0693,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-08","Aug-2019","IDX","Index","0","Units","2015_100","2015=100",99.93578,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-09","Sep-2019","IDX","Index","0","Units","2015_100","2015=100",99.77608,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-10","Oct-2019","IDX","Index","0","Units","2015_100","2015=100",99.92538,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-11","Nov-2019","IDX","Index","0","Units","2015_100","2015=100",100.3261,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units","2015_100","2015=100",100.3742,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",100.3763,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",100.3229,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",100.2213,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",100.112,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",100.0266,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",99.89835,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",99.73808,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",99.68465,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",99.47095,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",99.23055,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2015_100","2015=100",99.03883,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units","2015_100","2015=100",98.75031,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units","2015_100","2015=100",98.73256,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units","2015_100","2015=100",98.81269,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units","2015_100","2015=100",99.0787,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units","2015_100","2015=100",99.42596,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2021-05","May-2021","IDX","Index","0","Units","2015_100","2015=100",100.0089,,
"JPN","Japan","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units","2015_100","2015=100",100.1959,,
